scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,vertical,infect_percent,mProb,mSize,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,1,1655095424
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,2,1655095425
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,3,1655095426
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,4,1655095427
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,5,1655095428
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,6,1655095429
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,7,1655095430
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,8,1655095431
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,9,1655095432
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.075,1,2,FALSE,FALSE,0.01,0.01,10,1655095433
